spatial_cell,embedding_row,archetype_name
cell_12.892_77.631,500,Junction Choke Points
cell_12.892_77.632,501,Freight Obstruction Corridors
cell_12.892_77.637,502,Freight Obstruction Corridors
cell_12.892_77.638,503,Junction Choke Points
cell_12.892_77.639,504,Night Spillovers
cell_12.892_77.667,505,Freight Obstruction Corridors
cell_12.893_77.538,506,Mixed Risk Zone
cell_12.893_77.569,507,Freight Obstruction Corridors
cell_12.893_77.572,508,Mixed Risk Zone
cell_12.893_77.599,509,Night Spillovers
cell_12.893_77.62,510,Mixed Risk Zone
cell_12.893_77.633,511,Night Spillovers
cell_12.893_77.637,512,Junction Choke Points
cell_12.893_77.638,513,Freight Obstruction Corridors
cell_12.893_77.639,514,Junction Choke Points
cell_12.893_77.657,515,Night Spillovers
cell_12.894_77.563,516,Mixed Risk Zone
cell_12.894_77.567,517,Night Spillovers
cell_12.894_77.568,518,Night Spillovers
cell_12.894_77.569,519,Freight Obstruction Corridors
cell_12.894_77.572,520,Mixed Risk Zone
cell_12.894_77.586,521,Night Spillovers
cell_12.894_77.598,522,Night Spillovers
cell_12.894_77.599,523,Night Spillovers
cell_12.894_77.61,524,Freight Obstruction Corridors
cell_12.894_77.619,525,Night Spillovers
cell_12.894_77.62,526,Mixed Risk Zone
cell_12.894_77.626,527,Night Spillovers
cell_12.894_77.636,528,Freight Obstruction Corridors
cell_12.894_77.637,529,Freight Obstruction Corridors
cell_12.894_77.657,530,Night Spillovers
cell_12.894_77.658,531,Night Spillovers
cell_12.895_77.555,532,Night Spillovers
cell_12.895_77.556,533,Night Spillovers
cell_12.895_77.569,534,Night Spillovers
cell_12.895_77.586,535,Night Spillovers
cell_12.895_77.599,536,Night Spillovers
cell_12.895_77.62,537,Mixed Risk Zone
cell_12.895_77.626,538,Freight Obstruction Corridors
cell_12.895_77.636,539,Night Spillovers
cell_12.895_77.637,540,Mixed Risk Zone
cell_12.895_77.638,541,Freight Obstruction Corridors
cell_12.895_77.657,542,Night Spillovers
cell_12.895_77.658,543,Night Spillovers
cell_12.895_77.676,544,Night Spillovers
cell_12.896_77.455,545,Night Spillovers
cell_12.896_77.57,546,Freight Obstruction Corridors
cell_12.896_77.582,547,Mixed Risk Zone
cell_12.896_77.586,548,Night Spillovers
cell_12.896_77.599,549,Night Spillovers
cell_12.896_77.6,550,Night Spillovers
cell_12.896_77.626,551,Night Spillovers
cell_12.896_77.635,552,Night Spillovers
cell_12.896_77.636,553,Mixed Risk Zone
cell_12.896_77.639,554,Night Spillovers
cell_12.896_77.675,555,Night Spillovers
cell_12.896_77.72,556,Night Spillovers
cell_12.896_77.721,557,Night Spillovers
cell_12.897_77.453,558,Night Spillovers
cell_12.897_77.571,559,Night Spillovers
cell_12.897_77.582,560,Mixed Risk Zone
cell_12.897_77.586,561,Night Spillovers
cell_12.897_77.599,562,Night Spillovers
cell_12.897_77.6,563,Night Spillovers
cell_12.897_77.634,564,Night Spillovers
cell_12.897_77.635,565,Mixed Risk Zone
cell_12.897_77.636,566,Night Spillovers
cell_12.897_77.639,567,Junction Choke Points
cell_12.897_77.658,568,Night Spillovers
cell_12.897_77.675,569,Freight Obstruction Corridors
cell_12.897_77.719,570,Freight Obstruction Corridors
cell_12.897_77.72,571,Junction Choke Points
cell_12.897_77.721,572,Freight Obstruction Corridors
cell_12.898_77.572,573,Mixed Risk Zone
cell_12.898_77.586,574,Freight Obstruction Corridors
cell_12.898_77.606,575,Freight Obstruction Corridors
cell_12.898_77.607,576,Night Spillovers
cell_12.898_77.621,577,Night Spillovers
cell_12.898_77.626,578,Night Spillovers
cell_12.898_77.634,579,Junction Choke Points
cell_12.898_77.635,580,Junction Choke Points
cell_12.898_77.651,581,Night Spillovers
cell_12.898_77.658,582,Night Spillovers
cell_12.898_77.675,583,Night Spillovers
cell_12.899_77.465,584,Junction Choke Points
cell_12.899_77.559,585,Freight Obstruction Corridors
cell_12.899_77.572,586,Freight Obstruction Corridors
cell_12.899_77.618,587,Night Spillovers
cell_12.899_77.622,588,Night Spillovers
cell_12.899_77.627,589,Night Spillovers
cell_12.899_77.633,590,Mixed Risk Zone
cell_12.899_77.634,591,Night Spillovers
cell_12.899_77.645,592,Mixed Risk Zone
cell_12.899_77.648,593,Night Spillovers
cell_12.899_77.65,594,Night Spillovers
cell_12.899_77.651,595,Night Spillovers
cell_12.899_77.652,596,Night Spillovers
cell_12.899_77.658,597,Night Spillovers
cell_12.899_77.675,598,Junction Choke Points
cell_12.899_77.676,599,Night Spillovers
cell_12.89_77.563,600,Night Spillovers
cell_12.89_77.564,601,Night Spillovers
cell_12.89_77.592,602,Night Spillovers
cell_12.89_77.598,603,Night Spillovers
cell_12.89_77.626,604,Night Spillovers
cell_12.89_77.636,605,Night Spillovers
cell_12.89_77.637,606,Night Spillovers
cell_12.89_77.638,607,Freight Obstruction Corridors
cell_12.89_77.639,608,Freight Obstruction Corridors
cell_12.89_77.64,609,Junction Choke Points
cell_12.89_77.647,610,Night Spillovers
cell_12.89_77.648,611,Freight Obstruction Corridors
cell_12.89_77.649,612,Freight Obstruction Corridors
cell_12.89_77.669,613,Night Spillovers
cell_12.901_77.467,614,Night Spillovers
cell_12.901_77.468,615,Freight Obstruction Corridors
cell_12.901_77.544,616,Night Spillovers
cell_12.901_77.586,617,Mixed Risk Zone
