spatial_cell,hour,avg_poi,avg_violations
cell_12.835_77.68,6.0,0.7537718023763802,1
cell_12.835_77.68,7.0,0.44628710262841953,1
cell_12.835_77.681,8.0,0.7537718023763802,1
cell_12.836_77.679,4.0,0.7537718023763802,1
cell_12.836_77.679,5.0,0.7537718023763802,1
cell_12.836_77.679,6.0,0.7356105252087403,4
cell_12.836_77.679,7.0,0.44628710262841953,1
cell_12.836_77.679,20.0,0.7537718023763802,1
cell_12.836_77.679,21.0,1.180372592333766,8
cell_12.836_77.679,22.0,0.6814927271433194,12
cell_12.836_77.679,23.0,0.44628710262841953,2
cell_12.836_77.68,21.0,0.7537718023763802,1
cell_12.837_77.663,5.0,0.9886113934537812,1
cell_12.837_77.678,22.0,0.3184537311185346,1
cell_12.838_77.677,3.0,0.4462871026284196,3
cell_12.838_77.677,22.0,0.3184537311185346,1
cell_12.839_77.651,4.0,0.7537718023763802,1
cell_12.839_77.657,7.0,0.7537718023763802,1
cell_12.839_77.678,5.0,1.0370272650198908,15
cell_12.839_77.678,19.0,0.9886113934537812,1
cell_12.839_77.678,22.0,0.6374827233352334,10
cell_12.839_77.678,23.0,0.5596157879354227,20
cell_12.83_77.681,21.0,1.307098646147932,2
cell_12.83_77.682,21.0,1.55814461804655,1
cell_12.841_77.644,1.0,0.7537718023763802,2
cell_12.841_77.644,4.0,0.5596157879354227,1
cell_12.841_77.644,6.0,0.7492522188130684,7
cell_12.841_77.644,7.0,0.7484989548858497,6
cell_12.841_77.644,8.0,0.7537718023763802,1
cell_12.841_77.644,20.0,0.9444131271048674,9
cell_12.841_77.644,21.0,1.1245211400794397,8
cell_12.841_77.645,2.0,0.5596157879354227,1
cell_12.841_77.645,6.0,0.5596157879354227,1
cell_12.841_77.646,6.0,0.6118015411059929,2
cell_12.841_77.646,7.0,0.6591249615294553,3
cell_12.841_77.647,22.0,0.7537718023763802,1
cell_12.841_77.648,1.0,1.0842236147256008,3
cell_12.841_77.648,5.0,0.5596157879354227,1
cell_12.841_77.648,6.0,0.5487820025444065,3
cell_12.841_77.648,7.0,0.8053083551303732,12
cell_12.841_77.648,8.0,0.5596157879354227,1
cell_12.841_77.649,1.0,0.9886113934537812,2
cell_12.841_77.649,5.0,1.3687792178610958,2
cell_12.841_77.649,6.0,1.1786549963416462,7
cell_12.841_77.649,7.0,0.5596157879354227,2
cell_12.841_77.649,8.0,0.8456128582809951,3
cell_12.841_77.649,23.0,0.7537718023763802,1
